read	distance	multiplicity	edge_index	node_name
NP_300m_SV.NarG-8_1_249_+	0.1062202340632592	1	278	
NP_300m_SV.NarG-13_1_179_+	0.1455212340632592	1	278	
NP_300m_SV.NarG-17_1_242_+	0.1219192340632592	1	278	
NP_300m_SV.NarG-29_1_185_+	0.1386382340632592	1	278	
NP_300m_SV.NarG-53_1_187_+	0.07289723406325921	1	278	
NP_300m_SV.NarG-67_1_86_+	0.16975223406325918	1	278	
NP_300m_SV.NarG-68_1_250_+	0.0497972340632592	1	278	
NP_300m_SV.NarG-74_1_187_+	0.11410823406325919	1	278	
NP_300m_SV.NarG-80_1_238_+	0.0450472340632592	1	278	
NP_300m_SV.NarG-82_1_250_+	0.0509922340632592	1	278	
NP_300m_SV.NarG-100_1_193_+	0.0730402340632592	1	278	
NP_300m_SV.NarG-104_1_176_+	0.0764312340632592	1	278	
NP_300m_SV.NarG-129_1_101_+	0.0791232340632592	1	278	
NP_300m_SV.NarG-130_1_201_+	0.0529432340632592	1	278	
NP_300m_SV.NarG-134_1_180_+	0.1060002340632592	1	278	
NP_300m_SV.NarG-145_1_102_+	0.0511522340632592	1	278	
NP_300m_SV.NarG-147_1_186_+	0.0544422340632592	1	278	
NP_300m_SV.NarG-158_1_251_+	0.0965402340632592	1	278	
NP_300m_SV.NarG-170_1_115_+	0.019244234063259202	1	278	
NP_300m_SV.NarG-173_1_250_+	0.06962123406325921	1	278	
NP_300m_SV.NarG-191_1_228_+	0.1308062340632592	1	278	
NP_300m_SV.NarG-208_1_133_+	0.1143102340632592	1	278	
NP_300m_SV.NarG-232_1_108_+	0.0776582340632592	1	278	
NP_300m_SV.NarG-234_1_167_+	0.1356262340632592	1	278	
NP_300m_SV.NarG-244_1_251_+	0.0968652340632592	1	278	
NP_300m_SV.NarG-272_1_124_+	0.061448234063259194	1	278	
NP_300m_SV.NarG-285_1_197_+	0.0751982340632592	1	278	
NP_300m_SV.NarG-299_1_138_+	0.24134123406325922	1	278	
NP_300m_SV.NarG-303_1_163_+	0.0517872340632592	1	278	
NP_300m_SV.NarG-310_1_77_+	0.1966962340632592	1	278	
NP_300m_SV.NarG-325_1_184_+	0.0904272340632592	1	278	
NP_300m_SV.NarG-327_1_231_+	0.1684672340632592	1	278	
NP_300m_SV.NarG-354_1_98_+	0.0496112340632592	1	278	
